Time,Voltage,Current,Temperature
0.0,4.14585,-1.8129,294.931981
0.095996261,4.10532,-1.83249,294.931981
0.202000514,4.08666,-1.85046,294.931981
0.297996774,4.08087,-1.85781,294.931981
0.403005257,4.07765,-1.86353,294.931981
0.49799569,4.07636,-1.86516,294.931981
0.604995713,4.07572,-1.86598,294.931981
0.699000433,4.07508,-1.86679,294.9435647
0.801997259,4.07443,-1.86679,294.9435647
0.89699775,4.07379,-1.86679,294.9435647
1.001996174,4.08022,-1.34987,294.9435647
1.10300146,4.09052,-1.35151,294.9435647
1.203000918,4.09567,-1.34906,294.9435647
1.303000376,4.0976,-1.34742,294.9435647
1.398996636,4.09824,-1.34742,294.9435647
1.498996094,4.0976,-1.34661,294.9435647
1.593996584,4.0976,-1.34661,294.9435647
1.699005067,4.0976,-1.34661,294.9435647
1.794005558,4.0976,-1.34661,294.9435647
1.899003983,4.0976,-1.34742,294.9435647
1.994004473,4.09502,-1.71,294.9435647
2.097997069,4.08473,-1.71735,294.9435647
2.194999158,4.08022,-1.72225,294.9435647
2.301003411,4.07829,-1.7247,294.9435647
2.394002303,4.07765,-1.72552,294.9435647
2.498004958,4.07765,-1.72552,294.9435647
2.596998587,4.07701,-1.72633,294.9435647
2.70399861,4.07701,-1.72633,294.9435647
2.796997502,4.07636,-1.72633,294.9435647
2.901000157,4.07636,-1.72715,294.9435647
2.993999049,4.07508,-1.76472,294.9435647
3.100003302,4.06864,-1.89292,294.9435647
3.205997497,4.06607,-1.92641,294.9435647
3.297004849,4.06543,-1.93539,294.9551483
3.402003273,4.06478,-1.93947,294.9551483
3.497999534,4.06414,-1.94029,294.9435647
3.602997959,4.06414,-1.94029,294.9435647
3.704999015,4.0635,-1.94111,294.9435647
3.804002702,4.0635,-1.94111,294.9435647
3.901004791,4.06285,-1.94111,294.9435647
3.994003683,4.06671,-1.33272,294.9435647
4.101999477,4.08537,-1.25514,294.9435647
4.199001566,4.09374,-1.22901,294.9435647
4.294997826,4.09631,-1.22166,294.9435647
4.401997849,4.0976,-1.21921,294.9435647
4.494996741,4.09824,-1.21758,294.9435647
4.598999396,4.09824,-1.21758,294.9435647
4.693999887,4.09824,-1.21758,294.9435647
4.798998311,4.09824,-1.21676,294.9435647
4.893003032,4.09824,-1.21676,294.9435647
5.000003055,4.09824,-1.21921,294.9435647
5.097005144,4.0976,-1.22085,294.9435647
5.202999339,4.0976,-1.22166,294.9435647
5.300001428,4.0976,-1.22166,294.9435647
5.397003517,4.0976,-1.22166,294.9435647
5.502997711,4.0976,-1.22166,294.9435647
5.59900403,4.0976,-1.22248,294.9435647
5.702996626,4.09695,-1.22248,294.9435647
5.797997117,4.09695,-1.22248,294.9435647
5.894003436,4.09695,-1.22166,294.9435647
5.999001861,4.09695,-1.22411,294.9435647
6.094998121,4.09695,-1.22575,294.9435647
6.194001809,4.09631,-1.22656,294.9435647
6.301997602,4.09631,-1.22738,294.9435647
6.40199706,4.09631,-1.22738,294.931981
6.500004977,4.09631,-1.22738,294.931981
6.595005468,4.09631,-1.2282,294.931981
6.696000695,4.09631,-1.22738,294.931981
6.795004383,4.09631,-1.22738,294.9435647
6.900002807,4.09567,-1.2282,294.9435647
6.998000666,4.09052,-1.97459,294.9435647
7.093996927,4.07315,-1.97949,294.931981
7.19900541,4.06285,-1.98684,294.931981
7.293995842,4.05964,-1.99174,294.931981
7.400995865,4.05771,-1.99419,294.931981
7.495000586,4.05706,-1.995,294.9435647
7.599999011,4.05706,-1.99582,294.9435647
7.694003731,4.05642,-1.99582,294.9435647
7.799997926,4.05642,-1.99582,294.931981
7.897000015,4.05578,-1.99664,294.931981
7.994002104,4.05771,-1.63977,294.931981
8.101002127,4.06671,-1.64304,294.931981
8.194996789,4.06993,-1.64222,294.931981
8.303002641,4.07186,-1.64141,294.931981
8.398998901,4.07186,-1.64059,294.931981
8.501995727,4.07186,-1.64059,295.1520397
8.596996218,4.07186,-1.64059,295.1520397
8.700003102,4.07186,-1.63977,294.931981
8.797005191,4.07186,-1.63977,294.931981
8.897004649,4.07186,-1.64059,294.931981
8.997004107,4.07379,-1.32619,294.931981
9.097003564,4.0828,-1.29271,294.931981
9.195997193,4.0873,-1.27964,294.9435647
9.304998815,4.08859,-1.27556,294.9435647
9.402000904,4.08923,-1.27393,294.9435647
9.497001395,4.08923,-1.27393,294.9435647
9.594999254,4.08923,-1.27393,294.931981
9.699997678,4.08923,-1.27393,294.931981
9.796003997,4.08923,-1.27311,294.931981
9.901998192,4.08923,-1.27393,294.931981
9.996998683,4.08988,-1.2429,294.931981
10.10100134,4.09502,-1.12694,294.931981
10.19400023,4.09695,-1.09754,294.931981
10.30100025,4.09824,-1.08855,294.931981
10.39800234,4.09824,-1.08692,294.931981
10.49500443,4.09824,-1.0861,294.931981
10.60200445,4.09824,-1.0861,294.931981
10.69500335,4.09824,-1.0861,294.931981
10.799006,4.09824,-1.0861,294.9435647
10.90200283,4.09824,-1.08529,294.9435647
10.99500172,4.09888,-1.05589,294.931981
11.10099591,4.10467,-0.93748,294.931981
11.197998,4.10596,-0.91053,294.931981
11.30299643,4.10725,-0.8991,294.931981
11.39999852,4.10725,-0.89665,294.931981
11.49799637,4.10789,-0.89583,294.9435647
11.59600429,4.10789,-0.89583,294.9435647
11.70199849,4.10789,-0.89583,294.9435647
11.80100217,4.10789,-0.89502,294.9435647
11.89699844,4.10789,-0.89502,294.9435647
11.99800372,4.10789,-0.89502,294.931981
12.09800318,4.10789,-0.89338,294.931981
12.2030016,4.10789,-0.89338,294.931981
12.29800209,4.10789,-0.89338,294.931981
12.40399629,4.10789,-0.89257,294.931981
12.49899678,4.10789,-0.89338,294.931981
12.5950031,4.10789,-0.89338,294.931981
12.70099729,4.10789,-0.89257,294.931981
12.79599778,4.10789,-0.89257,294.931981
12.90400364,4.10789,-0.89338,294.931981
12.99900413,4.11111,-0.36503,294.931981
13.09799775,4.13234,-0.20089,294.931981
13.19499984,4.14006,-0.16251,295.140456
13.3010041,4.14392,-0.14862,295.140456
13.39600459,4.1452,-0.14536,295.1520397
13.50100301,4.14585,-0.14454,295.1520397
13.59499767,4.14585,-0.14454,295.1520397
13.70100193,4.14585,-0.14454,294.931981
13.79499659,4.14649,-0.14373,294.931981
13.90100084,4.14649,-0.14454,294.931981
14.00199607,4.14667,-0.12985,294.931981
14.09899816,4.15117,-0.02368,294.9435647
14.19899762,4.15374,0.01878,294.9435647
14.3000029,4.15503,0.03348,294.9435647
14.40099813,4.15567,0.03675,294.931981
14.49599862,4.15632,0.03757,294.931981
14.59599808,4.15632,0.03757,294.9435647
14.69399594,4.15632,0.03757,294.9435647
14.80200179,4.15632,0.03757,294.9435647
14.89900388,4.15696,0.03838,294.9435647
14.99900334,4.15743,0.02777,294.9435647
15.0949996,4.15421,-0.04818,294.931981
15.20100385,4.15099,-0.09963,294.931981
15.29499851,4.15035,-0.11269,294.931981
15.39999694,4.14971,-0.11678,294.931981
15.49600326,4.14971,-0.11759,294.9435647
15.60300328,4.14971,-0.11759,294.9435647
15.70100114,4.14971,-0.11759,294.9435647
15.7969974,4.14971,-0.11759,294.931981
15.90300165,4.14971,-0.11759,294.931981
15.99600054,4.14778,-0.19109,294.9435647
16.1000032,4.13877,-0.38463,294.9435647
16.19500369,4.13555,-0.43444,294.931981
16.30099788,4.13362,-0.45486,294.931981
16.3970042,4.13234,-0.45976,294.931981
16.5029984,4.13234,-0.46139,295.1520397
16.59900472,4.13234,-0.46139,295.1520397
16.69500098,4.13234,-0.46139,295.1520397
16.7999994,4.13234,-0.46139,295.1520397
16.89999886,4.13234,-0.46139,294.931981
16.99799672,4.13105,-0.49405,294.931981
17.09499881,4.12719,-0.58225,294.931981
17.19800569,4.12526,-0.61655,294.9435647
17.29900092,4.12397,-0.62716,294.9435647
17.39499718,4.12397,-0.6288,294.9551483
17.5019972,4.12397,-0.62961,294.9551483
17.59400032,4.12333,-0.62961,294.9435647
17.69600138,4.12333,-0.62961,294.9435647
17.80000404,4.12333,-0.62961,294.9435647
17.89699607,4.12333,-0.63043,294.931981
18.00099872,4.12333,-0.62798,294.931981
18.09800081,4.12333,-0.62635,295.1520397
18.19399707,4.12333,-0.62553,295.1520397
18.30200292,4.12333,-0.62553,294.931981
18.39399599,4.12333,-0.62553,294.931981
18.49900447,4.12333,-0.62553,294.931981
18.59299913,4.12333,-0.62553,294.931981
18.69700179,4.12333,-0.62553,294.931981
18.80400181,4.12333,-0.62471,294.931981
18.8990023,4.12333,-0.62553,294.931981
18.99299696,4.12204,-0.65656,294.931981
19.10100281,4.11754,-0.76027,294.931981
19.20300387,4.11561,-0.7864,294.931981
19.30000596,4.11497,-0.79375,294.931981
19.40199696,4.11432,-0.79539,294.931981
19.50000487,4.11432,-0.7962,294.931981
19.5989985,4.11432,-0.7962,294.931981
19.69600059,4.11432,-0.7962,294.931981
19.79500428,4.11432,-0.7962,294.931981
19.89599951,4.11368,-0.7962,294.931981
20.00200376,4.11368,-0.79457,294.931981
20.10000162,4.11432,-0.79294,294.931981
20.19599788,4.11432,-0.79212,294.931981
20.3029979,4.11368,-0.79212,295.140456
